emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees,delinquency_category,loan_size,dti_category,credit_utilization_percent,credit_utilization_category,loan_quality,is_bad_loan,income_group,credit_history_years,term_category
global_config_engineer,3,NJ,mortgage,90000.0,verified,18.01,0.0,not_applicable,0.0,0,2001,6,28,10,70795,38767,0,0,0,1250,2,5,5.0,10,0,0,2,11100,14,8,6,1,92.9,0,0,moving,individual,28000,60,14.07,652.53,C,C3,2018-03-01,current,whole,Cash,27015.86,1999.33,984.14,1015.19,0.0,Late (37-60 Months),Large Loan,Low Risk,54.75951691503638,Medium,Good Loan,0,Middle Income,25,Long Term
warehouse_office_clerk,10,HI,rent,40000.0,not verified,5.04,0.0,not_applicable,0.0,0,1996,1,30,14,28800,4321,0,1,0,0,0,11,8.0,14,0,0,3,16500,24,14,4,0,100.0,0,1,debt_consolidation,individual,5000,36,12.61,167.54,C,C1,2018-02-01,current,whole,Cash,4651.37,499.12,348.63,150.49,0.0,Never Late,Medium Loan,Low Risk,15.003472222222221,Low,Good Loan,0,Low Income,30,Short Term
assembly,3,WI,rent,40000.0,source verified,21.15,0.0,not_applicable,0.0,0,2006,4,31,10,24193,16000,0,0,0,432,1,13,7.0,10,0,0,3,4300,14,8,6,0,93.5,0,0,other,individual,2000,36,17.09,71.4,D,D1,2018-02-01,current,fractional,Cash,1824.63,281.8,175.37,106.43,0.0,Late (13-36 Months),Small Loan,Moderate Risk,66.13483238953415,Medium,Good Loan,0,Low Income,20,Short Term
customer_service,1,PA,rent,30000.0,not verified,10.16,0.0,not_applicable,0.0,0,2007,0,4,4,25400,4997,0,1,0,0,1,1,15.0,4,0,0,2,19400,3,3,2,0,100.0,1,0,debt_consolidation,individual,21600,36,6.72,664.19,A,A3,2018-01-01,current,whole,Cash,18853.26,3312.89,2746.74,566.15,0.0,Never Late,Large Loan,Low Risk,19.673228346456693,Low,Good Loan,0,Low Income,19,Short Term
not_provided,0,KY,own,34000.0,not verified,6.46,0.0,not_applicable,0.0,1,1990,6,32,12,42100,3898,0,0,0,0,0,2,5.0,12,0,0,1,27200,27,12,5,3,78.1,0,0,other,individual,5000,36,6.72,153.75,A,A3,2018-01-01,current,whole,Cash,4256.71,873.13,743.29,129.84,0.0,Late (37-60 Months),Medium Loan,Low Risk,9.258907363420429,Low,Good Loan,0,Low Income,36,Short Term
human_resources,10,MI,mortgage,35000.0,source verified,23.66,155000.0,Not Verified,13.12,0,2004,1,12,10,291852,18916,0,0,0,0,2,1,9.0,10,0,0,3,9100,8,7,6,2,100.0,0,0,credit_card,joint,24000,60,13.59,553.35,C,C2,2018-01-01,current,whole,Cash,22560.0,2730.51,1440.0,1290.51,0.0,Never Late,Large Loan,Moderate Risk,6.481367268341488,Low,Good Loan,0,Low Income,22,Long Term
police,10,AZ,mortgage,110000.0,source verified,16.19,0.0,not_applicable,0.0,1,2005,1,30,15,342336,60805,0,0,0,0,2,4,7.0,15,0,0,5,22250,16,12,10,7,93.0,0,0,debt_consolidation,individual,20000,60,11.99,444.79,B,B5,2018-01-01,current,whole,Cash,19005.39,1765.84,994.61,771.23,0.0,Late (60+ Months),Large Loan,Low Risk,17.76178958683866,Low,Good Loan,0,High Income,21,Long Term
parts,10,NV,mortgage,65000.0,source verified,36.48,0.0,not_applicable,0.0,1,1998,3,35,21,283190,69561,0,0,0,0,6,10,4.0,21,0,0,11,36700,19,14,14,2,97.1,0,0,home_improvement,individual,20000,36,13.59,679.58,C,C2,2018-02-01,current,whole,Cash,18156.66,2703.22,1843.34,859.88,0.0,Late (13-36 Months),Large Loan,High Risk,24.56336735054204,Low,Good Loan,0,Middle Income,28,Short Term
4th_person,3,IL,rent,30000.0,not verified,18.91,0.0,not_applicable,0.0,0,2001,0,9,6,33114,17768,0,0,0,0,1,5,17.0,6,0,0,3,14700,7,5,3,0,100.0,0,0,credit_card,individual,6400,36,6.71,196.77,A,A3,2018-03-01,current,fractional,Cash,6077.13,391.15,322.87,68.28,0.0,Never Late,Medium Loan,Low Risk,53.65706347768315,Medium,Good Loan,0,Low Income,25,Short Term
supervisor,10,IL,mortgage,75000.0,verified,10.45,0.0,not_applicable,0.0,0,1996,4,22,10,39433,22895,0,1,0,0,2,6,3.0,10,0,0,2,5000,16,8,5,2,94.1,0,1,debt_consolidation,individual,25000,60,15.04,595.28,C,C4,2018-03-01,current,whole,Cash,24143.51,1764.95,856.49,908.46,0.0,Never Late,Large Loan,Low Risk,58.060507696599295,Medium,Good Loan,0,Middle Income,30,Long Term
